Stationsname,id,lat,lon
SKRYDSTRUP,06110,55.23,9.27
KEGNAES,06119,54.85,9.98
ABED,06141,54.83,11.33
HELGOLAND,10015,54.17,7.88
WESTERLAND,10018,54.92,8.35
LIST/SYLT,10020,55.02,8.42
LECK,10022,54.8,8.95
HUSUM,10026,54.52,9.15
ST. PETER ORDING,10028,54.33,8.6
FLENSBURG,10033,54.83,9.5
EGGEBEK,10034,54.63,9.35
SCHLESWIG,10035,54.53,9.55
SCHLESWIG-JAGEL,10037,54.47,9.52
HOHN,10038,54.32,9.53
OLPENITZ,10042,54.67,10.03
LEUCHTTURM KIEL,10044,54.5,10.27
KIEL-H.,10046,54.38,10.15
WESTERMARKELSDORF,10055,54.53,11.07
PUTTGARDEN,10063,54.5,11.22
ELPERSBUETTEL,10130,54.07,9.02
CUXHAVEN,10131,53.87,8.72
ITZEHOE,10142,54.0,9.58
NEUMUENSTER,10143,54.08,9.93
QUICKBORN,10146,53.73,9.88
HAMBURG-FU.,10147,53.63,10.0
DOERNICK,10150,54.17,10.35
PELZERHAKEN,10152,54.08,10.88
LUEBECK,10156,53.82,10.7
BOLTENHAGEN,10161,54.0,11.18
BOIZENBURG,10249,53.38,10.68
WEESBY,A051,54.83,9.15
WRIXUM/FOEHR,A112,54.68,8.53
BORDELUM,A138,54.63,8.93
EGGEBEK,A159,54.63,9.37
FLENSBURG (SCHAEFERH,A160,54.77,9.38
SATRUP,A173,54.68,9.63
WAGERSROTT,A191,54.67,9.82
HALLIG HOOGE,A201,54.57,8.52
STRUCKLAHNUNGSHOERN,A216,54.5,8.82
HATTSTEDT,A226,54.53,9.03
BREKENDORFER MOOR,A338,54.42,9.6
GROSS WITTENSEE,A345,54.4,9.77
ERFDE,A351,54.3,9.32
GROSSENBRODE,A397,54.37,11.08
KREMPEL,A411,54.32,9.02
OSTENFELD (RENDSBURG,A443,54.32,9.82
KOEHN,A473,54.33,10.47
PUTLOS,A480,54.32,10.8
HOHWACHT,A481,54.32,10.67
WACKEN,A483,54.02,9.38
OLDENBURG I.H.,A492,54.27,10.88
BUESUM,A505,54.12,8.87
HEIDE,A512,54.17,9.07
HAALE,A536,54.17,9.57
PADENSTEDT,A652,54.03,9.92
PADENSTEDT (PONY-PAR,A653,54.02,9.93
TRAVEMUENDE,A699,53.97,10.88
WEDDELBROOK,A752,53.9,9.83
WITTENBORN,A762,53.92,10.23
"SCHWARTAU,BAD -GROSS",A791,53.93,10.7
SPRENGE,A940,53.68,10.37
GRAMBEK,A981,53.57,10.68
BASTORF-KAEGSDORF (S,B203,54.13,11.67
KIRCHDORF/POEL,B308,54.0,11.43
CARLOW,B508,53.77,10.93
GREVESMUEHLEN,B511,53.83,11.17
DODOW,B710,53.5,11.0
FREIBURG/ELBE,E082,53.83,9.25
DROCHTERSEN,E091,53.72,9.38
RUTHENSTROM,E095,53.72,9.42
MITTELNKIRCHEN-HOHEN,E099,53.55,9.62
LUEB. BUCHT,E5311,54.1,11.2
NDL.POEL,E5312,54.25,11.75
ELBEMUENDUNG,E5409,54.0,8.1
KIELER BUCHT,E5411,54.52,10.72
NORDFR.KUE.,E5508,54.7,8.0
FLENSB.FOER.,E5510,54.8,10.2
FEHMARNBELT,E5512,54.6,11.3
WYK/FOEHR,K1407,54.7,8.57
HEIDE/HOLSTEIN,K1445,54.22,9.1
GLUECKSTADT,K1484,53.8,9.43
OSTENFELD,K1705,54.32,9.8
EUTIN,K3822,54.13,10.58
BAD SEGEBERG,K3854,53.93,10.3
GRAMBECK,K3869,53.57,10.68
LUENEBURG,K3891,53.27,10.43
RERIK,N2822,54.12,11.62
BAD OLDESLOE,N7012,53.82,10.4
RATZEBURG,N7029,53.7,10.77
ECKERNFOERDE,N7244,54.45,9.85
TRITTAU,N8524,53.62,10.4
STADERSAND,N8625,53.63,9.53
BAD BRAMSTEDT,N8667,53.92,9.9
BROKDORF,N8690,53.87,9.33
GEESTHACHT,P0025,53.42,10.33
FINKENWERDER,P0026,53.53,9.83
BRUNSBUETTEL/SWA,P0027,53.9,9.13
HAMBURG-NEUENG.,P0120,53.42,10.23
TIMMENDORF/POEL,P0124,53.98,11.38
KRAGELUND,P0125,54.68,9.82
LINDEWITT,P0126,54.72,9.15
KAISER-WILH.-KOOG,P0131,53.93,8.93
SCHUELP,P0144,54.23,8.92
ST.PETER-ORDING,P0150,54.32,8.68
HALLIG HOOGE,P0151,54.57,8.53
PLOEN,P0152,54.17,10.38
UETERSEN,P0199,53.68,9.65
LABOE,P0200,54.4,10.25
SCHENEFELD,P0201,53.6,9.82
GLINDE,P0202,53.53,10.22
GOEHL,P0331,54.28,10.93
BISDORF,P0332,54.47,11.17
GETTORF,P0346,54.42,9.98
HARRISLEE,P0347,54.8,9.38
MALENTE,P0348,54.17,10.55
MARNE,P0349,53.95,9.02
REINFELD,P0350,53.83,10.48
SCHOENBERG,P0351,54.4,10.37
TRAPPENKAMP,P0352,54.03,10.22
WESSELBUREN,P0353,54.22,8.92
BERGSTEDT,P0488,53.67,10.12
HAMBURG INNENSTADT,P0489,53.55,9.98
BUTENDI1,P0642,55.02,7.77
SWIS-PUNKT,X106,53.63,9.98
SWIS-PUNKT,X129,53.53,9.83
SWIS-PUNKT,X134,54.38,10.15
SWIS-PUNKT,X137,53.8,10.72
TINNUM,X149,54.9,8.33
BOLTENHAGEN,X391,54.0,11.18
RERIK,X414,54.12,11.62
